role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count,distance_to_nearest_gb_A,bulk_distance_rank,wagih_delta_e_kj_mol
gb_sample,394673,42.0139999,20.8066006,52.8580018,1,,0.0,,4.6214304
gb_sample,182288,59.860901,190.3739929,88.1919022,1,,0.0,,5.7098313
gb_sample,98088,142.5950012,14.7390003,22.1541996,1,,0.0,,-0.0476832
gb_sample,272903,8.7328997,6.0461798,119.9229966,1,,0.0,,8.9155178
gb_sample,372487,139.9309998,97.0569992,70.7378006,1,,0.0,,21.181345
gb_sample,225757,104.3740006,55.5135002,133.8480072,1,,0.0,,27.2124405
gb_sample,411202,193.1080017,197.7449951,67.2666016,1,,0.0,,41.5739365
gb_sample,418356,150.9140016,102.5899964,86.6779022,1,,0.0,,12.5488587
gb_sample,373693,106.5049973,162.4299927,13.1771002,1,,0.0,,18.1374302
gb_sample,259077,81.2799988,148.0780029,183.0540009,1,,0.0,,2.5151608
gb_sample,145628,199.5540009,65.3126984,78.850502,1,,0.0,,16.2965717
gb_sample,457317,140.1759949,155.8009949,199.6710053,1,,0.0,,22.329195
gb_sample,311691,18.2751007,90.4886017,61.4724007,1,,0.0,,30.1412106
gb_sample,189029,101.4940033,55.4959984,141.7689972,1,,0.0,,13.4056807
gb_sample,228774,116.4489975,66.3421021,165.7369995,1,,0.0,,19.2529297
gb_sample,268073,110.3000031,157.5700073,185.378006,1,,0.0,,14.9349662
gb_sample,106144,61.5032997,24.8696996,45.8781014,1,,0.0,,10.0968504
gb_sample,92707,160.9450074,62.3033981,30.4265995,1,,0.0,,0.9976672
gb_sample,75887,-0.223836,121.052002,3.4056301,1,,0.0,,3.8126922
gb_sample,387574,66.7567978,135.7319947,26.5863991,1,,0.0,,28.9453316
gb_sample,75628,48.6711006,112.1589966,70.3772965,1,,0.0,,18.6545906
gb_sample,404575,22.8176995,133.6979981,31.0468006,1,,0.0,,0.795967
gb_sample,263810,94.2043991,151.9360046,187.9170074,1,,0.0,,40.4905091
gb_sample,124257,65.8247986,91.5146027,116.6029969,1,,0.0,,-3.1677811
gb_sample,212803,130.0379944,95.0158997,122.2440033,1,,0.0,,36.5085144
gb_sample,367306,98.0746994,104.6729965,79.5046005,1,,0.0,,20.7787037
gb_sample,582,40.5950012,169.828003,171.5659943,1,,0.0,,40.9701042
gb_sample,51695,20.5568009,90.2490006,155.0930023,1,,0.0,,37.666256
gb_sample,323497,1.01952,18.1497002,124.6579972,1,,0.0,,-3.952522
gb_sample,179482,65.5635987,4.4721499,99.9770966,1,,0.0,,11.606659
gb_sample,290766,98.206398,186.2369995,141.621994,1,,0.0,,17.7523442
gb_sample,445193,180.4089966,124.1490021,35.1442986,1,,0.0,,12.4973212
gb_sample,363363,85.1020966,111.3399964,84.0094986,1,,0.0,,16.5271263
gb_sample,365885,147.1369934,146.4349976,111.0680008,1,,0.0,,2.2352929
gb_sample,117001,21.5790997,19.6530991,80.6278992,1,,0.0,,-10.8045731
