role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count,distance_to_nearest_gb_A,bulk_distance_rank,wagih_delta_e_kj_mol
gb_sample,174564,78.5649033,21.4335003,83.9969026,1,,0.0,,-13.7525215
gb_sample,77978,110.5510025,87.3031006,64.2085037,1,,0.0,,45.1253891
gb_sample,408696,7.17838,143.1549988,19.3495999,1,,0.0,,-7.3905373
gb_sample,175512,109.098999,193.1399994,60.6306992,1,,0.0,,18.0241661
gb_sample,126676,14.9796,48.4264984,83.0008011,1,,0.0,,18.6449013
gb_sample,418097,22.2684994,102.3990021,126.1640015,1,,0.0,,-0.4543545
gb_sample,259161,82.1597977,156.4309998,185.526001,1,,0.0,,-14.4676304
gb_sample,347309,97.930397,169.7290039,94.3853989,1,,0.0,,3.2458313
gb_sample,235042,144.9660034,19.5671005,177.022995,1,,0.0,,13.9492912
gb_sample,96775,126.5220032,8.1496296,22.3880005,1,,0.0,,31.2843781
gb_sample,347983,141.7870026,193.4080048,93.5914002,1,,0.0,,21.0460205
gb_sample,356467,156.0919952,179.1269989,73.0050964,1,,0.0,,22.3991699
gb_sample,147876,10.7449999,89.251503,143.4929962,1,,0.0,,14.5303107
gb_sample,143271,171.2779999,46.1827011,56.9135018,1,,0.0,,6.4918847
gb_sample,79399,134.2350006,85.490799,58.3263016,1,,0.0,,19.9437714
gb_sample,163253,176.5039978,11.0867996,130.8170014,1,,0.0,,21.5510445
gb_sample,430300,172.8190003,186.0809937,119.953003,1,,0.0,,34.6925278
gb_sample,214989,189.2420044,80.5282974,152.3939972,1,,0.0,,22.3420849
gb_sample,131980,140.2350006,91.3591995,86.8584976,1,,0.0,,-1.1454948
gb_sample,303690,22.2789993,62.3408013,65.3324967,1,,0.0,,7.697042
gb_sample,449990,196.4129944,143.8150025,27.8999004,1,,0.0,,28.362627
gb_sample,268922,111.1330032,115.2509995,179.2669983,1,,0.0,,11.1551828
gb_sample,126970,54.0695992,96.6149979,113.4929962,1,,0.0,,15.9211254
gb_sample,291433,95.8644028,175.2089996,157.970993,1,,0.0,,14.9954844
gb_sample,341684,63.2673988,26.0939999,8.0284004,1,,0.0,,18.1466427
gb_sample,155011,1.51466,44.7675019,77.1828995,1,,0.0,,-5.7824412
gb_sample,253332,95.0748978,92.6015015,102.1230011,1,,0.0,,-11.3750687
gb_sample,186387,119.7890015,37.7932015,156.7640076,1,,0.0,,-1.1283218
gb_sample,379923,65.9753036,199.5579987,196.1069946,1,,0.0,,18.9081918
gb_sample,83149,105.3960037,104.8949966,194.199997,1,,0.0,,34.7015114
gb_sample,451833,176.0650024,133.5679932,32.6461983,1,,0.0,,27.4274655
gb_sample,468071,119.3310013,124.362999,42.9942018,1,,0.0,,28.9672832
