atom_id,delta_e_kj_mol
464,5.728498
465,10.6229534
466,12.3467627
467,20.2657433
468,14.068964
469,-4.0065718
470,6.1448131
471,15.0803614
472,3.301167
473,-8.9007254
474,28.336401
475,36.3965721
477,25.9871826
478,20.99263
479,-16.5797367
480,6.1107221
481,24.9094792
482,25.0916805
485,-29.7499275
486,5.4631987
487,15.2690296
488,22.5645199
489,5.1315064
490,-13.9150458
491,-22.2908058
492,-9.7045851
493,11.2976256
494,0.5127903
495,4.255033
496,11.5896683
497,13.6668844
498,-5.4346776
499,22.300951
500,11.9553872
501,10.1305723
505,32.522831
507,36.0281372
508,39.7131157
509,-1.6064488
510,2.0469534
511,9.0407
512,38.7938538
514,24.3724289
515,6.3302002
516,8.1591482
518,44.9035492
519,-4.5689307
520,0.992398
521,-17.846796
522,25.6948681
523,-10.7267275
524,-13.8863554
525,10.0679579
526,25.6273194
527,-11.9136544
528,-26.0378513
529,9.2682409
530,-4.5172115
531,37.495678
532,10.1956158
533,4.7812882
535,19.5473805
536,28.1005478
539,-2.7154563
540,-2.3302727
542,3.1144245
543,17.189806
544,18.0782166
545,13.2945662
546,11.5043412
547,8.1102085
549,9.2198258
554,22.4077912
555,8.5680886
557,22.3382988
558,-4.2867732
559,25.6618653
560,-14.4568787
561,-10.971594
562,65.7731781
563,-16.4340325
564,64.2369385
565,19.8351765
566,-4.5725789
567,9.0490942
572,32.1929169
573,33.2336617
576,-4.132668
577,-1.0706518
579,41.2627182
580,14.8099985
581,18.4102497
582,40.9701042
583,-1.1858064
584,21.7721272
585,11.4545594
587,21.6968785
588,19.5050755
589,11.0349875
590,4.734664
591,20.140255
592,36.8035813
593,35.1337891
594,21.3616333
595,37.6425858
596,-6.3709793
608,28.0340176
609,24.9792768
612,28.311573
613,-2.3110023
615,22.0344887
616,23.9043694
617,-20.899395
618,10.2489596
619,8.8562842
620,21.1771927
621,35.4135018
623,4.0839434
624,2.1629908
626,18.4869213
643,13.1038475
644,9.3505907
646,-14.703888
647,21.9189206
648,2.4485493
649,16.2773399
650,-16.8905716
651,12.6320677
652,9.1591291
653,4.7992659
654,-6.437028
656,39.721756
657,53.3848457
660,16.7723179
661,30.130394
665,-13.0969486
668,12.9104472
669,21.5961075
673,3.644181
674,-7.2572923
676,12.8489466
677,43.7180138
678,26.6683502
679,46.8645898
680,40.2725716
681,20.0597343
682,14.2464666
683,10.8555728
684,2.3534465
685,13.9715204
686,26.173029
688,-28.0721264
689,47.0949287
690,32.4596176
692,13.1000176
693,-9.7369309
696,3.1519387
697,-7.3342323
698,8.8700314
699,2.3272901
700,0.854309
701,0.5201058
702,-3.887282
703,25.1949043
704,21.2351017
705,-2.048054
706,-9.0857916
707,22.559824
708,-0.6954746
709,24.8112431
710,-15.3785496
711,3.1921945
712,-11.2824526
713,-0.6984255
714,12.6709595
715,3.8492352
716,24.7628689
717,23.2300434
718,20.6327343
719,-4.6164508
720,14.8375731
721,37.69693
722,34.3047104
724,-4.4806443
725,22.1348915
726,23.249918
727,2.9466038
728,1.2375029
729,-8.6701107
730,1.9958892
731,14.749816
732,27.112196
733,7.3169222
734,-6.3784528
735,37.4709053
737,12.5537968
738,-1.4433034
739,24.707777
740,28.7744599
741,19.801136
742,-6.040441
743,9.8350039
744,11.2192888
745,15.1521959
746,-11.7475291
747,37.5425987
748,18.7215634
749,0.035051
751,27.4935951
752,9.8051071
754,21.7242584
755,-0.4396335
756,-4.1393724
757,4.5754204
758,4.2351565
759,-36.3711891
760,-8.0464602
761,44.2288742
762,-12.8523236
763,53.5589295
764,23.2745056
765,-18.6355248
766,-5.4711018
767,19.5075302
768,-30.665823
769,22.2002392
770,-3.1191292
771,20.3107891
772,5.0819173
773,2.975065
774,0.9021544
775,-7.66571
776,-25.5176106
777,28.7341099
778,17.9237442
779,-2.4280777
780,5.5716901
781,11.4556933
782,14.05548
783,2.1343937
784,30.1018677
789,18.8435078
790,20.2567654
792,16.4138451
793,24.8757154
794,44.4602623
795,23.3895912
796,26.9881382
799,18.2235909
801,9.5869379
802,-13.8064451
803,-5.6863647
804,28.7786961
805,32.4954949
806,4.2927127
807,15.0298548
808,25.119278
809,15.7708903
819,33.4502793
820,20.627594
823,12.7831717
824,0.945984
826,13.0320711
827,6.234159
828,34.8695336
829,18.6932793
830,29.3995819
831,-1.8605388
832,25.1753101
833,-0.1973171
834,20.7240677
835,37.117691
840,3.9066002
841,36.7348023
842,2.7743027
844,30.6655388
845,10.2249985
846,30.6828671
847,7.8142638
857,22.2552433
858,22.1334248
861,-14.7439032
864,27.6332932
865,40.6099434
869,24.3902874
870,28.5773907
872,22.4349556
873,61.9288864
874,7.7999177
875,18.4626637
876,35.6250954
877,44.9072304
878,28.4744282
879,23.5979805
880,-0.9496316
881,23.207264
882,-8.7953892
883,46.8447342
884,0.9928678
885,12.2430325
886,3.4522414
887,0.3928145
888,-3.4021285
910,13.9758798
913,16.8150406
914,12.7252932
915,24.5517407
916,17.3681507
917,7.7837901
919,34.3001785
920,-17.729477
921,4.7233339
922,-10.0743427
923,31.4790821
924,5.8684336
925,32.754364
927,13.4325676
928,-2.9169204
931,20.4774781
932,19.8338528
952,10.5639296
954,19.6210919
955,39.0789146
956,43.6295624
957,32.3064041
958,12.8494092
959,5.6135869
960,19.9894924
