role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count
gb_sample,27142,34.7813710876,66.1497437412,28.1608895292,1,11
gb_sample,71369,91.4029652375,56.1524159636,51.703086452,1,13
gb_sample,37628,48.2282581382,91.8553853237,35.9682729748,1,10
gb_sample,23287,29.8019361803,84.1368226826,15.1092363739,1,9
gb_sample,51006,65.354388106,34.8114322841,28.3706915182,1,11
gb_sample,73351,93.9525772137,60.4221492114,57.2281214283,1,8
gb_sample,42880,54.9400515805,69.3943296652,7.3754558472,1,11
gb_sample,21906,28.0338249058,30.8490514664,6.6883806777,1,10
gb_sample,47761,61.1788787596,52.6868815958,23.2650367577,1,11
gb_sample,57891,74.09046715,69.5852934542,23.5643230064,1,9
gb_sample,26073,33.3923030242,68.2932642335,28.0612787137,1,11
gb_sample,42112,53.9637576883,32.4603795416,74.8655333347,1,9
gb_sample,33048,42.3384148371,35.9630606084,68.3792484631,1,9
gb_sample,65725,84.0840508424,20.5805670259,6.9753266576,1,9
gb_sample,14359,18.4034467846,97.3480092153,65.9161338537,1,9
gb_sample,74710,95.7069822238,76.1385566277,2.2814702846,1,10
gb_sample,76877,98.4823065428,36.3151559072,36.5500758808,1,11
gb_sample,67062,85.8217288833,65.4060698205,59.8854750536,1,11
gb_sample,31921,40.8826617959,31.491522126,87.4801187448,1,11
gb_sample,17299,22.1547685355,74.849228673,85.7156434526,1,6
gb_sample,43872,56.2049467245,87.5430639759,18.0289617265,1,10
gb_sample,64902,83.0030256454,36.4106940974,4.4983292168,1,10
gb_sample,38713,49.6593439051,89.4155847961,79.0743302898,1,10
gb_sample,69210,88.5972746288,51.4498574839,46.4498634588,1,6
gb_sample,70467,90.2382132511,67.1287670599,66.7299690959,1,9
gb_sample,65565,83.8538800483,60.6170089211,92.8322383076,1,13
gb_sample,42637,54.6257112292,28.2505818035,24.5326256541,1,11
gb_sample,25044,32.0485387118,80.4233492416,58.3968964368,1,8
gb_sample,75847,97.1699880819,43.1446695199,61.6245089094,1,9
gb_sample,52687,67.5144422482,93.5913683941,20.1199809268,1,8
gb_sample,33485,42.9137459714,67.1094646348,91.6043357954,1,8
gb_sample,39195,50.2510995861,2.0990410222,20.3192987374,1,9
gb_sample,43102,55.2323325053,47.7829595382,33.4602782261,1,13
gb_sample,19381,24.8167480587,76.4458132507,82.0506460288,1,9
gb_sample,15987,20.4745296531,39.8863939523,95.1817319688,1,9
gb_sample,11754,15.0914999412,39.5739080528,99.9981874791,1,9
gb_sample,66571,85.1813374944,50.8775456728,27.9008218243,1,9
gb_sample,11645,14.9514356357,28.8810098317,5.5056124796,1,10
gb_sample,67932,86.9454615184,40.3103710382,82.0250796933,1,10
gb_sample,42863,54.9172383743,53.8166040217,36.4991328518,1,13
gb_sample,21525,27.5538863265,42.8746247173,73.3118569729,1,9
gb_sample,37370,47.9085968294,60.0244564472,70.6156156,1,9
gb_sample,63782,81.5569741827,36.7934931133,24.743144792,1,9
gb_sample,410,0.5406405865,10.9049997253,20.7923128823,1,10
gb_sample,7775,10.0412926227,80.6112859007,42.7849634123,1,13
gb_sample,55259,70.7629522781,32.0007465143,38.1939448979,1,8
gb_sample,30768,39.4085681944,99.9260870017,79.3511934612,1,11
gb_sample,47807,61.2435621205,16.1404559912,2.6891388974,1,11
gb_sample,72071,92.3011370954,65.5570128038,51.8266128902,1,11
gb_sample,63408,81.1055665628,65.1324574793,33.2159068159,1,13
gb_sample,63587,81.3204719013,64.7584318215,56.5740053651,1,8
gb_sample,20835,26.6708406166,47.2518261123,91.7318131957,1,9
gb_sample,31627,40.5057422214,99.7410118645,25.3189682101,1,11
gb_sample,55883,71.5441893442,71.9665544343,31.2139919863,1,11
gb_sample,42540,54.4993245321,11.2592203114,82.1770147975,1,10
gb_sample,2021,2.6362984709,26.4146799927,16.0010031935,1,11
gb_sample,41677,53.4125647441,94.9993275372,88.6634654351,1,10
gb_sample,18716,23.9646274426,43.7065995899,19.2541651044,1,9
gb_sample,3248,4.217110537,86.6977478489,27.5868694569,1,10
gb_sample,52570,67.362168698,69.6296066723,85.466560567,1,13
gb_sample,48863,62.5976141277,63.3709668821,36.6019244775,1,9
gb_sample,39008,50.009489513,96.8526472763,16.5132750829,1,7
gb_sample,61377,78.4817639456,31.3006792042,95.3450854922,1,7
gb_sample,20981,26.8616233894,80.2860152515,4.4442372966,1,6
gb_sample,7637,9.8729114574,75.1119883533,57.9867354889,1,13
gb_sample,50267,64.3967754123,28.0536719332,65.8752792101,1,9
gb_sample,22328,28.566866208,73.6741521421,83.3863682056,1,5
gb_sample,23643,30.2695470956,57.0516299549,96.3896459883,1,8
gb_sample,57815,74.001527561,66.0289050939,71.1725631544,1,13
gb_sample,34565,44.2962304464,11.8262844226,3.5569571665,1,9
gb_sample,31103,39.8415620231,41.4773617284,94.5197951539,1,10
gb_sample,56919,72.8441635753,88.1549398955,19.9599997768,1,9
gb_sample,68541,87.7238874708,14.4246817348,20.7818044163,1,10
gb_sample,48057,61.5607673956,45.694709515,84.4078854429,1,9
gb_sample,77136,98.8094449341,5.6418026959,22.2813389076,1,10
gb_sample,72928,93.4216515174,67.9595013926,69.3509641919,1,10
gb_sample,20603,26.3711708875,71.2708813242,40.4465653054,1,13
gb_sample,38847,49.8226202679,47.0898040284,29.9914356384,1,13
gb_sample,1868,2.4481530363,48.3879285495,50.8835062637,1,9
gb_sample,22131,28.3211384317,42.3763365129,84.9900158848,1,9
gb_sample,37839,48.5099889112,22.3822560379,73.2366416269,1,8
gb_sample,43661,55.9310559641,8.4116730501,94.1468042799,1,9
gb_sample,39230,50.2825634361,20.8488396781,56.5804732272,1,7
gb_sample,40172,51.4870928366,55.4043989469,54.5089932229,1,13
gb_sample,63017,80.5818552481,60.6797863885,91.2966154059,1,13
gb_sample,63895,81.71534769,11.7259846045,44.8055557909,1,10
gb_sample,1391,1.8305815916,12.3206752492,98.1966070799,1,9
gb_sample,34100,43.6902798946,66.1223593144,68.933713702,1,11
gb_sample,72722,93.1568024884,62.0630230625,90.3783656194,1,11
gb_sample,64512,82.5114657671,29.3760996344,12.6936757453,1,11
gb_sample,1368,1.7985775361,15.2131117485,45.8005918019,1,9
gb_sample,68804,88.0714730241,48.2991757963,78.3753609883,1,8
gb_sample,58793,75.2123919365,26.6391870787,17.553467824,1,5
gb_sample,73672,94.3699271077,80.3743311823,20.3256814667,1,6
gb_sample,1798,2.3550238326,30.1921215109,34.924433978,1,9
gb_sample,77312,99.0330856639,80.0631033478,3.2848449177,1,10
gb_sample,13709,17.5796523086,79.5206405368,83.9784387014,1,7
gb_sample,37462,48.0234606138,25.3170459119,66.8142114764,1,8
gb_sample,75123,96.2508959492,38.4802074044,16.8557817651,1,9
gb_sample,61710,78.9029424705,69.6958710539,32.5438220995,1,13
gb_sample,71880,92.0570025009,8.3603753507,82.4432149381,1,10
gb_sample,16236,20.7906077931,25.0185469445,52.5066389009,1,7
gb_sample,52974,67.8592549107,37.1544976287,74.1541088304,1,10
gb_sample,39241,50.2937730509,43.8455961181,14.728882468,1,8
gb_sample,34412,44.0735811237,43.8771027253,68.2656241498,1,9
gb_sample,56136,71.866424074,69.3110926045,58.3966652632,1,11
gb_sample,77659,99.4728072852,89.4055347361,48.0349950536,1,8
gb_sample,8955,11.5482702036,47.9571173902,35.6288734358,1,6
gb_sample,23960,30.6670718147,60.9445606616,83.3901022856,1,9
gb_sample,35732,45.8144141821,28.3438573029,48.2310278373,1,9
gb_sample,36367,46.6223491417,8.9001019232,11.3483596748,1,9
gb_sample,473,0.6194043543,25.9077206704,43.8491940516,1,8
gb_sample,30271,38.7876074543,24.5370156166,81.2482034262,1,9
gb_sample,8748,11.2821240506,24.3796587087,50.2358195214,1,8
gb_sample,41892,53.6763239244,87.1798133916,17.9382520386,1,10
gb_sample,75862,97.1885430696,72.9846137594,45.1115444328,1,13
gb_sample,65889,84.2936776487,51.114734195,47.434283549,1,9
gb_sample,51927,66.5429254826,48.9616989263,32.2926695777,1,11
gb_sample,35524,45.5403936329,52.7661814415,49.4709179146,1,13
gb_sample,75131,96.2574972595,2.3902246755,80.0937134596,1,10
gb_sample,60803,77.7387893743,23.3645901355,42.9560806457,1,10
gb_sample,70426,90.1856615965,73.2967523314,84.4480835446,1,8
gb_sample,9692,12.4974837666,23.8706718217,45.2961552504,1,8
