atom_id,delta_e_kj_mol,pe_eV,bulk_reference_pe_eV,x_A,y_A,z_A,first_neighbor_count
71,6.0132971374731925,-274146.604660721,-274146.666984154,0.5382070170117388,89.4941158626435,55.539818909870284,10
30681,3.0158949975662033,-274146.635726605,-274146.666984154,37.863590553854436,54.00082793358151,80.74786629190999,11
70529,-1.0174468943173798,-274146.677529248,-274146.666984154,89.67950391278436,64.74015808754946,31.999796249556965,13
76825,-3.083363812070043,-274146.698940968,-274146.666984154,96.7461697894089,16.554646040483078,55.74546863134196,13
50606,-4.916170718147969,-274146.717936673,-274146.666984154,63.66328249808375,69.86086677129784,94.8884558954372,13
36826,0.5799568329214583,-274146.660973325,-274146.666984154,45.904477559791125,87.14734442318591,27.411923430795795,11
27912,2.3895234130334213,-274146.642218489,-274146.666984154,35.05553502032043,84.0661037278834,53.52120063021904,11
67910,-1.5993896834404076,-274146.68356066,-274146.666984154,87.08477142436718,57.42297235375486,31.30756719197938,13
37438,2.748697592956885,-274146.638495911,-274146.666984154,42.18285350011237,72.73664966873935,86.29244787757793,11
8345,-1.7880534333684999,-274146.685516022,-274146.666984154,10.264542515997217,72.92553133582773,20.05050044846221,13
35726,1.1147928833697232,-274146.65543014,-274146.666984154,46.22068898935739,84.89136950428961,26.554182128018248,11
44295,0.4351742273069114,-274146.662473891,-274146.666984154,56.55981950940226,29.042268378061255,82.8993860750136,13
61618,5.665367262934619,-274146.60826676,-274146.666984154,77.74182388876075,54.228798168726826,17.289044809583846,11
24754,3.4433906300430404,-274146.631295925,-274146.666984154,30.17048227545613,14.58165876604055,64.74787757237713,11
37063,-1.2958016713763059,-274146.680414192,-274146.666984154,46.567775139651644,88.29285600034441,97.50379033458167,13
54174,2.894926512357309,-274146.636980355,-274146.666984154,65.09514623970031,57.12283409091707,69.53089984199242,10
13915,5.2847309873938455,-274146.612211777,-274146.666984154,17.758381605385228,21.628523193482202,14.836217804272612,11
76416,0.10582550247972457,-274146.66588735,-274146.666984154,95.5714985466371,10.584061837943343,54.28952082454723,13
70997,2.3323592318383164,-274146.642810954,-274146.666984154,87.77390666009386,70.62534480084366,87.52925230885452,11
9913,0.9542739000989381,-274146.657093802,-274146.666984154,11.69819122902341,91.61423354466427,93.09135257189271,13
59272,1.48196945368181,-274146.651624623,-274146.666984154,66.49505146757599,76.04183555166193,8.126475822659108,11
57164,2.434737985804387,-274146.641749873,-274146.666984154,71.28819013875759,66.36515322551064,52.22878089296519,11
21699,1.960053213979199,-274146.646669634,-274146.666984154,28.611457249660404,91.5885624651248,24.871910802190243,11
30392,-1.409642402844696,-274146.681594068,-274146.666984154,37.56588667752769,67.57731835953199,8.639738559981797,13
45966,-0.6813541360074737,-274146.674045892,-274146.666984154,57.51377448359306,86.08077867626743,35.14863383739591,13
48664,0.8619423559632368,-274146.658050751,-274146.666984154,62.6924154308814,36.60144606292077,49.390197456560394,13
41181,0.4057374178630988,-274146.662778982,-274146.666984154,51.14053173172517,85.57132424411954,88.1926724009599,13
59522,1.9771635352550212,-274146.646492298,-274146.666984154,75.67079449659398,46.158124449431845,14.416648029087295,11
46048,0.8199650648355041,-274146.658485815,-274146.666984154,58.99175226617274,28.931442434222394,34.70871983329079,13
36119,1.4410353577774688,-274146.652048875,-274146.666984154,43.153660297031294,73.04101883243325,79.55931306631818,13
15156,3.748365907318721,-274146.628135079,-274146.666984154,18.55578100403026,37.63051754985577,45.366343567304135,11
77410,6.529232477255385,-274146.599313428,-274146.666984154,0.8373592843225255,51.70868524759207,37.94820917869303,11
32952,2.8966389378605126,-274146.636962607,-274146.666984154,40.71639204174981,59.3919962680898,91.52775239255914,11
24169,-4.668411240428282,-274146.715368827,-274146.666984154,30.14565407301138,73.65145172300727,14.285261928372037,13
24550,2.718845797950635,-274146.638805303,-274146.666984154,28.985656940963157,81.0762591561529,72.64349805797964,11
48695,-1.5106873408365475,-274146.682641325,-274146.666984154,60.44758124003074,31.773583347210312,72.98099145927974,13
27286,-2.0256609144688458,-274146.68797865,-274146.666984154,34.80950912229821,23.92124754403586,18.228438732914494,13
51009,2.2135445874640043,-274146.644042381,-274146.666984154,62.23644019453242,25.587472919598074,70.2558059700523,13
30266,-0.843127522389574,-274146.675722555,-274146.666984154,39.17622916596386,27.960850446216025,13.728716434525763,11
